DATE,Beautification Daily Log_Date,Beautification Daily Log_Location (cross streets),Beautification Daily Log_How many POUNDS of garbage collected? (number only),Beautification Daily Log_Sum,Beautification Daily Log_Percentage of total,Metro Cost_Weight_Date,Metro Cost_Weight_Pounds,Metro Cost_Weight_Cost,Metro Cost_Weight_Sum,Metro Cost_Weight_Percentage of total,APPROX SITE WEIGHT,CITY,STATE,ZIP
11/29/2021,11/29/2021,0,0,0,0,11/29/2021,1020,73,2280,0.45,0,0,0,0
11/29/2021,11/29/2021,0,0,0,0,11/29/2021,1260,87,2280,0.55,0,0,0,0
1/4/2022,1/4/2022,0,0,0,0,1/4/2022,960,70,960,1,0,0,0,0
1/5/2022,1/5/2022,0,0,0,0,1/5/2022,1200,84,6820,0.18,0,0,0,0
1/5/2022,1/5/2022,0,0,0,0,1/5/2022,1680,111,6820,0.25,0,0,0,0
1/5/2022,1/5/2022,0,0,0,0,1/5/2022,1820,120,6820,0.27,0,0,0,0
1/5/2022,1/5/2022,0,0,0,0,1/5/2022,2120,137,6820,0.31,0,0,0,0
1/6/2022,1/6/2022,0,0,0,0,1/6/2022,1740,115,3520,0.49,0,0,0,0
1/6/2022,1/6/2022,0,0,0,0,1/6/2022,1780,117,3520,0.51,0,0,0,0
1/10/2022,1/10/2022,0,0,0,0,1/10/2022,2000,130,4720,0.42,0,0,0,0
1/10/2022,1/10/2022,0,0,0,0,1/10/2022,2720,171,4720,0.58,0,0,0,0
1/11/2022,1/11/2022,0,0,0,0,1/11/2022,1340,92,5760,0.23,0,0,0,0
1/11/2022,1/11/2022,0,0,0,0,1/11/2022,1440,98,5760,0.25,0,0,0,0
1/11/2022,1/11/2022,0,0,0,0,1/11/2022,2980,186,5760,0.52,0,0,0,0
1/12/2022,1/12/2022,0,0,0,0,1/12/2022,700,55,3440,0.2,0,0,0,0
1/12/2022,1/12/2022,0,0,0,0,1/12/2022,2740,173,3440,0.8,0,0,0,0
1/13/2022,1/13/2022,0,0,0,0,1/13/2022,1460,99,4280,0.34,0,0,0,0
1/13/2022,1/13/2022,0,0,0,0,1/13/2022,2820,177,4280,0.66,0,0,0,0
1/18/2022,1/18/2022,0,0,0,0,1/18/2022,1800,118,4620,0.39,0,0,0,0
1/18/2022,1/18/2022,0,0,0,0,1/18/2022,2820,177,4620,0.61,0,0,0,0
1/19/2022,1/19/2022,0,0,0,0,1/19/2022,1680,111,6180,0.27,0,0,0,0
1/19/2022,1/19/2022,0,0,0,0,1/19/2022,2020,131,6180,0.33,0,0,0,0
1/19/2022,1/19/2022,0,0,0,0,1/19/2022,2480,158,6180,0.4,0,0,0,0
1/20/2022,1/20/2022,0,0,0,0,1/20/2022,1480,100,5740,0.26,0,0,0,0
1/20/2022,1/20/2022,0,0,0,0,1/20/2022,2020,131,5740,0.35,0,0,0,0
1/20/2022,1/20/2022,0,0,0,0,1/20/2022,2240,144,5740,0.39,0,0,0,0
1/25/2022,1/25/2022,0,0,0,0,1/25/2022,2700,170,2700,1,0,0,0,0
1/27/2022,1/27/2022,0,0,0,0,1/27/2022,1480,100,4920,0.3,0,0,0,0
1/27/2022,1/27/2022,0,0,0,0,1/27/2022,1540,103,4920,0.31,0,0,0,0
1/27/2022,1/27/2022,0,0,0,0,1/27/2022,1900,124,4920,0.39,0,0,0,0
1/28/2022,1/28/2022,0,0,0,0,1/28/2022,1320,91,1320,1,0,0,0,0
1/31/2022,1/31/2022,0,0,0,0,1/31/2022,2260,145,5060,0.45,0,0,0,0
1/31/2022,1/31/2022,0,0,0,0,1/31/2022,2800,176,5060,0.55,0,0,0,0
2/1/2022,2/1/2022,0,0,0,0,2/1/2022,780,60,3780,0.21,0,0,0,0
2/1/2022,2/1/2022,0,0,0,0,2/1/2022,800,61,3780,0.21,0,0,0,0
2/1/2022,2/1/2022,0,0,0,0,2/1/2022,880,65,3780,0.23,0,0,0,0
2/1/2022,2/1/2022,0,0,0,0,2/1/2022,1320,91,3780,0.35,0,0,0,0
2/2/2022,2/2/2022,0,0,0,0,2/2/2022,2820,177,6900,0.41,0,0,0,0
2/2/2022,2/2/2022,0,0,0,0,2/2/2022,4080,250,6900,0.59,0,0,0,0
2/4/2022,2/4/2022,0,0,0,0,2/4/2022,2840,178,2840,1,0,0,0,0
2/7/2022,2/7/2022,0,0,0,0,2/7/2022,1160,82,5100,0.23,0,0,0,0
2/7/2022,2/7/2022,0,0,0,0,2/7/2022,3940,242,5100,0.77,0,0,0,0
2/8/2022,2/8/2022,0,0,0,0,2/8/2022,2100,136,4580,0.46,0,0,0,0
2/8/2022,2/8/2022,0,0,0,0,2/8/2022,2480,158,4580,0.54,0,0,0,0
